Operation,Run,Time (seconds)
Decode,925,3.76ms
Decode,926,3.62ms
Decode,927,3.67ms
Decode,928,3.66ms
Decode,929,3.41ms
Decode,930,3.31ms
Decode,931,3.37ms
Decode,932,3.20ms
Decode,933,3.82ms
Decode,934,3.38ms
Decode,935,3.51ms
Decode,936,3.43ms
Decode,937,3.80ms
Decode,938,3.82ms
Decode,939,3.49ms
Decode,940,3.53ms
Decode,941,26.89ms
Decode,942,5.59ms
Decode,943,4.30ms
Decode,944,3.83ms
Decode,945,3.39ms
Decode,946,3.56ms
Decode,947,3.17ms
Decode,948,3.50ms
Decode,949,3.68ms
Decode,950,3.32ms
Decode,951,3.48ms
Decode,952,3.60ms
Decode,953,3.41ms
Decode,954,3.80ms
Decode,955,3.42ms
Decode,956,3.53ms
Decode,957,3.25ms
Decode,958,3.26ms
Decode,959,3.59ms
Decode,960,3.38ms
Decode,961,3.40ms
Decode,962,3.33ms
Decode,963,3.24ms
Decode,964,3.44ms
Decode,965,3.53ms
Decode,966,3.45ms
Decode,967,3.77ms
Decode,968,3.59ms
Decode,969,3.74ms
Decode,970,3.62ms
Decode,971,3.88ms
Decode,972,3.39ms
Decode,973,3.93ms
Decode,974,3.23ms
Decode,975,3.44ms
Decode,976,3.22ms
Decode,977,3.19ms
Decode,978,3.55ms
Decode,979,3.67ms
Decode,980,3.42ms
Decode,981,3.56ms
Decode,982,3.59ms
Decode,983,3.27ms
Decode,984,3.40ms
Decode,985,3.50ms
Decode,986,3.59ms
Decode,987,3.68ms
Decode,988,3.69ms
Decode,989,3.47ms
Decode,990,3.45ms
Decode,991,3.21ms
Decode,992,3.63ms
Decode,993,3.37ms
Decode,994,3.69ms
Decode,995,3.40ms
Decode,996,3.56ms
Decode,997,3.72ms
Decode,998,3.28ms
Decode,999,3.24ms
Decode,1000,3.23ms
Decode,1001,3.36ms
Decode,1002,3.49ms
Decode,1003,3.83ms
Decode,1004,3.44ms
Decode,1005,3.74ms
Decode,1006,3.86ms
Decode,1007,3.60ms
Decode,1008,3.54ms
Decode,1009,3.59ms
Decode,1010,3.67ms
Decode,1011,3.38ms
Decode,1012,3.56ms
Decode,1013,3.29ms
Decode,1014,3.63ms
Decode,1015,3.47ms
Decode,1016,3.35ms
Decode,1017,3.60ms
Decode,1018,3.43ms
Decode,1019,3.35ms
Decode,1020,3.87ms
Decode,1021,3.35ms
Decode,1022,3.84ms
Decode,1023,3.35ms
Decode,1024,3.30ms
Decode,1025,3.31ms
Decode,1026,3.56ms
Decode,1027,3.86ms
Decode,1028,3.64ms
Decode,1029,3.53ms
Decode,1030,3.13ms
Decode,1031,4.05ms
Decode,1032,3.33ms
Decode,1033,3.83ms
Decode,1034,3.23ms
Decode,1035,3.35ms
Decode,1036,3.37ms
Decode,1037,3.50ms
Decode,1038,3.62ms
Decode,1039,3.76ms
Decode,1040,3.51ms
Decode,1041,3.93ms
Decode,1042,3.40ms
Decode,1043,3.37ms
Decode,1044,3.59ms
Decode,1045,3.46ms
Decode,1046,3.25ms
Decode,1047,3.71ms
Decode,1048,3.27ms
Decode,1049,3.74ms
Decode,1050,3.69ms
Decode,1051,3.43ms
Decode,1052,3.69ms
Decode,1053,3.28ms
Decode,1054,3.38ms
Decode,1055,3.65ms
Decode,1056,3.36ms
Decode,1057,3.95ms
Decode,1058,3.30ms
Decode,1059,3.50ms
Decode,1060,3.33ms
Decode,1061,3.23ms
Decode,1062,3.56ms
Decode,1063,3.48ms
Decode,1064,3.38ms
Decode,1065,3.55ms
Decode,1066,3.71ms
Decode,1067,3.75ms
Decode,1068,3.37ms
Decode,1069,3.26ms
Decode,1070,3.66ms
Decode,1071,3.24ms
Decode,1072,3.33ms
Decode,1073,3.49ms
Decode,1074,3.30ms
Decode,1075,3.22ms
Decode,1076,3.58ms
Decode,1077,3.34ms
Decode,1078,3.70ms
Decode,1079,3.26ms
Decode,1080,3.30ms
Decode,1081,3.22ms
Decode,1082,3.56ms
Decode,1083,3.35ms
Decode,1084,3.86ms
Decode,1085,3.54ms
Decode,1086,3.69ms
Decode,1087,3.32ms
Decode,1088,3.37ms
Decode,1089,3.32ms
Decode,1090,4.03ms
Decode,1091,3.31ms
Decode,1092,3.54ms
Decode,1093,3.17ms
Decode,1094,3.28ms
Decode,1095,3.32ms
Decode,1096,3.60ms
Decode,1097,3.28ms
Decode,1098,3.37ms
Decode,1099,3.25ms
Decode,1100,3.22ms
Decode,1101,3.71ms
Decode,1102,3.33ms
Decode,1103,3.93ms
Decode,1104,3.43ms
Decode,1105,3.87ms
Decode,1106,3.64ms
Decode,1107,4.11ms
Decode,1108,3.63ms
Decode,1109,3.54ms
Decode,1110,3.24ms
Decode,1111,3.69ms
Decode,1112,3.18ms
Decode,1113,3.42ms
Decode,1114,3.49ms
Decode,1115,3.65ms
Decode,1116,3.54ms
Decode,1117,3.72ms
Decode,1118,3.15ms
Decode,1119,3.90ms
Decode,1120,3.37ms
Decode,1121,3.72ms
Decode,1122,3.27ms
Decode,1123,3.49ms
Decode,1124,3.42ms
Decode,1125,3.41ms
Decode,1126,3.63ms
Decode,1127,3.54ms
Decode,1128,3.19ms
Decode,1129,3.79ms
Decode,1130,3.33ms
Decode,1131,3.17ms
Decode,1132,3.34ms
Decode,1133,3.24ms
Decode,1134,3.37ms
Decode,1135,3.73ms
Decode,1136,3.38ms
Decode,1137,3.65ms
Decode,1138,3.35ms
Decode,1139,3.56ms
Decode,1140,3.69ms
Decode,1141,3.39ms
Decode,1142,3.75ms
Decode,1143,3.49ms
Decode,1144,3.51ms
Decode,1145,3.70ms
