Operation,Run,Time (seconds)
Encode,344,1.00ms
Decode,344,4.69ms
Decode,345,4.41ms
Encode,345,1.18ms
Decode,345,3.77ms
Decode,346,4.88ms
Encode,346,878.13µs
Decode,346,3.72ms
Decode,347,3.91ms
Encode,347,870.33µs


Encode,348,2.33ms
Decode,348,6.50ms
Decode,349,3.54ms
Encode,349,1.02ms
Decode,349,4.67ms
Decode,350,3.51ms
Encode,350,913.63µs
Decode,350,3.89ms
Decode,351,3.45ms
Encode,351,998.29µs
Decode,351,3.93ms
Decode,352,3.56ms
Encode,352,974.25µs
Decode,352,3.94ms
Decode,353,4.53ms
Encode,353,981.67µs
Decode,353,4.65ms
Decode,354,3.78ms
Encode,354,881.33µs
Decode,354,3.81ms
Decode,355,4.40ms
Encode,355,985.79µs
Decode,355,4.10ms
Decode,356,3.51ms
Encode,356,876.42µs

Encode,357,878.79µs
Decode,357,3.86ms
Decode,358,4.10ms
Encode,358,918.92µs
Decode,358,4.02ms
Decode,359,4.73ms
Encode,359,851.75µs
Decode,359,3.49ms
Decode,360,4.09ms
Encode,360,984.83µs
Decode,360,3.64ms
Decode,361,3.81ms
Encode,361,968.00µs
Decode,361,4.13ms
Decode,362,3.74ms
Encode,362,875.04µs
Decode,362,3.87ms
Decode,363,3.49ms
Encode,363,848.79µs
Decode,363,4.23ms
Decode,364,4.26ms
Encode,364,878.88µs
Decode,364,3.77ms
Decode,365,3.60ms
Encode,365,1.04ms
Decode,365,3.99ms
Decode,366,4.02ms
Encode,366,859.92µs
Decode,366,4.21ms
Decode,367,3.69ms
Encode,367,906.08µs
Decode,367,3.91ms
Decode,368,3.93ms
Encode,368,941.71µs
Decode,368,4.72ms
Decode,369,4.42ms
Encode,369,1.04ms
Decode,369,4.33ms
Decode,370,3.88ms
Encode,370,1.11ms
Decode,370,4.91ms
Decode,371,4.60ms
Encode,371,996.88µs
Decode,371,4.34ms
Decode,372,4.56ms
Encode,372,886.21µs
Decode,372,4.65ms
Decode,373,3.79ms
Encode,373,1.21ms
Decode,373,3.99ms
Decode,374,4.10ms
Encode,374,992.67µs
Decode,374,4.02ms
Decode,375,3.83ms
Encode,375,1.04ms
Decode,375,3.86ms
Decode,376,4.16ms
Encode,376,1.09ms
Decode,376,4.44ms
Decode,377,4.36ms
Encode,377,986.33µs
Decode,377,4.23ms
Decode,378,3.77ms
Encode,378,873.42µs
Decode,378,4.19ms
Decode,379,3.84ms
Encode,379,849.21µs
Decode,379,4.07ms
Decode,380,3.87ms
Encode,380,996.63µs
Decode,380,3.81ms
Decode,381,3.70ms
Encode,381,1.01ms
Decode,381,4.16ms
Decode,382,3.90ms
Encode,382,1.11ms
Decode,382,3.93ms
Decode,383,3.54ms
Encode,383,839.25µs
Decode,383,4.31ms
Decode,384,3.64ms
Encode,384,914.75µs
Decode,384,3.86ms
Decode,385,3.81ms
Encode,385,875.50µs
Decode,385,3.96ms
Decode,386,3.92ms
Encode,386,1.02ms
Decode,386,4.12ms
Decode,387,3.81ms
Encode,387,846.33µs
Decode,387,4.65ms
Decode,388,5.40ms
Encode,388,1.24ms
Decode,388,4.59ms
